model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
audio1d,,1,0,5.483333333333333e-05,0.00010949999999999999
audio1d,,1,1,5.283333333333333e-05,0.00010049999999999999
audio1d,,1,2,3.65e-05,8.949999999999998e-05
audio1d,,1,3,2.4e-05,8.599999999999999e-05
audio1d,,1,4,2.2e-05,7.599999999999999e-05
audio1d,,1,5,1.2e-05,7.199999999999999e-05
audio1d,,1,6,0.0,0.0
audio1d,,2,0,4.516666666666667e-05,0.00011099999999999999
audio1d,,2,1,4.316666666666667e-05,9.299999999999998e-05
audio1d,,2,2,3.45e-05,8.699999999999999e-05
audio1d,,2,3,2.1000000000000002e-05,8.099999999999999e-05
audio1d,,2,4,1.9e-05,7.099999999999999e-05
audio1d,,2,5,1.2e-05,6.599999999999999e-05
audio1d,,2,6,0.0,0.0
audio1d,,4,0,4.916666666666667e-05,8.25e-05
audio1d,,4,1,4.7166666666666663e-05,5.95e-05
audio1d,,4,2,3.95e-05,5.35e-05
audio1d,,4,3,3e-05,4.9e-05
audio1d,,4,4,2.8e-05,3.1e-05
audio1d,,4,5,7e-06,2.7e-05
audio1d,,4,6,0.0,0.0
audio1d,,8,0,5.6999999999999996e-05,9.15e-05
audio1d,,8,1,5.4000000000000005e-05,7.950000000000001e-05
audio1d,,8,2,4.4999999999999996e-05,7.25e-05
audio1d,,8,3,3.5000000000000004e-05,7e-05
audio1d,,8,4,3.3e-05,5.8e-05
audio1d,,8,5,8e-06,4.1e-05
audio1d,,8,6,0.0,0.0
audio1d,,16,0,6.549999999999999e-05,0.0001495
audio1d,,16,1,6.35e-05,0.00012649999999999998
audio1d,,16,2,5.1500000000000005e-05,0.00011949999999999999
audio1d,,16,3,2.8e-05,0.00011199999999999998
audio1d,,16,4,2.6000000000000002e-05,9.999999999999999e-05
audio1d,,16,5,1.6e-05,8.999999999999999e-05
audio1d,,16,6,0.0,0.0
audio1d,,32,0,8.383333333333333e-05,0.0001305
audio1d,,32,1,8.183333333333332e-05,0.0001215
audio1d,,32,2,6.05e-05,0.00010949999999999999
audio1d,,32,3,4.1e-05,0.000106
audio1d,,32,4,3.9e-05,9.3e-05
audio1d,,32,5,7e-06,8.8e-05
audio1d,,32,6,0.0,0.0
audio1d,,40,0,3.8333333333333334e-05,0.0001295
audio1d,,40,1,3.633333333333334e-05,5.4499999999999997e-05
audio1d,,40,2,3e-05,4.95e-05
audio1d,,40,3,2.1e-05,4.8e-05
audio1d,,40,4,1.9e-05,2.8000000000000003e-05
audio1d,,40,5,6e-06,2.5e-05
audio1d,,40,6,0.0,0.0
audio1d,13,1,0,0.0,0.0
audio1d,13,1,1,0.878223,3.25182
audio1d,13,1,2,1.7270743333333334,4.8136616666666665
audio1d,13,1,3,2.2979193333333336,6.9273446666666665
audio1d,13,1,4,2.5003253333333335,7.280359666666667
audio1d,13,1,5,7.289482333333334,14.286008666666667
audio1d,13,2,0,0.0,0.0
audio1d,13,2,1,0.514852,2.3389089999999997
audio1d,13,2,2,0.9430103333333333,3.123655333333333
audio1d,13,2,3,1.2776643333333333,4.643946333333333
audio1d,13,2,4,1.3823813333333332,4.847432333333333
audio1d,13,2,5,3.986019333333333,8.268102333333333
audio1d,13,4,0,0.0,0.0
audio1d,13,4,1,0.232484,1.065209
audio1d,13,4,2,0.423419,1.4125473333333334
audio1d,13,4,3,0.574533,2.104932333333333
audio1d,13,4,4,0.6201559999999999,2.186876333333333
audio1d,13,4,5,1.7801449999999999,3.8336473333333334
audio1d,13,8,0,0.0,0.0
audio1d,13,8,1,0.139979,0.719446
audio1d,13,8,2,0.2951333333333333,0.9855206666666667
