model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
audio1d,13,1,0,0.0001877916666666,0.0002767083333333
audio1d,13,1,1,0.8896762916666666,6.149800708333333
audio1d,13,1,2,0.9284960416666668,6.188891541666667
audio1d,13,1,3,0.9284564166666668,6.188875416666667
audio1d,13,1,4,1.9194841666666669,10.526847416666667
audio1d,13,1,5,1.919443166666667,10.526815666666666
audio1d,13,1,6,2.613580166666667,136.12932091666664
audio1d,13,2,0,0.0002173749999999,0.0003022916666666
audio1d,13,2,1,0.880434875,3.290850291666666
audio1d,13,2,2,0.9185159583333332,3.330164375
audio1d,13,2,3,0.9184723333333332,3.33014725
audio1d,13,2,4,1.914627833333333,7.704537750000001
audio1d,13,2,5,1.9145788333333331,7.704494250000001
audio1d,13,2,6,2.616851083333333,140.98173
audio1d,13,4,0,0.0001666666666666,0.000232
audio1d,13,4,1,0.9147811666666668,3.284689
audio1d,13,4,2,0.9526863333333334,3.323595666666667
audio1d,13,4,3,0.9526503333333334,3.323584666666666
audio1d,13,4,4,1.9235948333333337,13.370348666666668
audio1d,13,4,5,1.9235658333333336,13.370329166666666
audio1d,13,4,6,2.6166078333333336,137.67574416666665
audio1d,13,8,0,0.0002049166666666,0.0002529999999999
audio1d,13,8,1,0.8444319166666666,8.949346499999999
audio1d,13,8,2,0.88194175,8.987994166666667
audio1d,13,8,3,0.881899,8.987975166666667
audio1d,13,8,4,1.883201,13.390720166666668
audio1d,13,8,5,1.88315,13.390677666666669
audio1d,13,8,6,2.587352,138.37393816666668
audio1d,13,16,0,0.000235,0.0002806666666666
audio1d,13,16,1,0.9171865,3.300686166666667
audio1d,13,16,2,0.9550393333333332,3.339512166666667
audio1d,13,16,3,0.9549928333333332,3.339491666666667
audio1d,13,16,4,1.9533083333333332,7.706181666666668
audio1d,13,16,5,1.9532573333333332,7.706139166666667
audio1d,13,16,6,2.636538333333333,132.11876316666667
audio1d,13,32,0,0.0002383333333333,0.00029175
audio1d,13,32,1,0.9106088333333332,3.2788732499999997
audio1d,13,32,2,0.9484163333333332,3.317608583333333
audio1d,13,32,3,0.9483713333333332,3.317587833333333
audio1d,13,32,4,1.9469413333333336,7.666301833333334
audio1d,13,32,5,1.9468888333333336,7.666258833333333
audio1d,13,32,6,2.6437968333333335,132.8240038333333
audio1d,13,40,0,0.0002192083333333,0.000248375
audio1d,13,40,1,0.8732452083333333,3.3203756249999996
audio1d,13,40,2,0.912110875,3.3600425416666666
audio1d,13,40,3,0.91206775,3.3600249166666667
audio1d,13,40,4,1.9120025,7.709421416666668
audio1d,13,40,5,1.91195975,7.7093896666666675
audio1d,13,40,6,2.60700425,141.07460766666665
audio1d,14,1,0,0.0002638333333333,0.0003581666666666
audio1d,14,1,1,2.128718333333333,8.626138666666666
audio1d,14,1,2,2.231389333333333,8.7301735
audio1d,14,1,3,2.231318333333333,8.7301355
audio1d,14,1,4,4.839327833333333,20.1935095
audio1d,14,1,5,4.839267333333333,20.1934495
audio1d,14,1,6,6.600839333333333,306.8803275
audio1d,14,2,0,0.0002284166666666,0.0002970833333333
audio1d,14,2,1,1.9797959166666663,7.150206083333333
audio1d,14,2,2,2.062822083333333,7.234844249999999
audio1d,14,2,3,2.062773833333333,7.234823
audio1d,14,2,4,4.196397833333333,16.636074500000003
audio1d,14,2,5,4.196332833333333,16.636027000000002
audio1d,14,2,6,5.677223333333332,255.7565505
audio1d,14,40,0,0.00019275,0.0002486666666666
