model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
bcwfc,Linear_64_32,HE,13,0.909215,2.797230,0.060023,4
bcwfc,Linear_64_32,Plain,-,0.000008,0.000008,0.000003,4
bcwfc,Activation_ReLU3,HE,13,0.011515,0.012442,0.000003,4
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,4
bcwfc,Linear_32_16,HE,13,0.419903,1.250155,0.030944,4
bcwfc,Linear_32_16,Plain,-,0.000002,0.000010,0.000001,4
bcwfc,Activation_ReLU3,HE,13,0.011570,0.013214,0.000000,4
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,4
bcwfc,Linear_16_10,HE,13,0.251847,0.777297,0.019895,4
bcwfc,Linear_16_10,Plain,-,0.000002,0.000003,0.000001,4
bcwfc,Linear_64_32,HE,13,1.067821,3.207040,0.065571,4
bcwfc,Linear_64_32,Plain,-,0.000007,0.000022,0.000002,4
bcwfc,Activation_ReLU3,HE,13,0.011816,0.012917,0.000001,4
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,4
bcwfc,Linear_32_16,HE,13,0.458319,1.315935,0.029905,4
bcwfc,Linear_32_16,Plain,-,0.000002,0.000009,0.000001,4
bcwfc,Activation_ReLU3,HE,13,0.012053,0.012418,0.000001,4
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000000,0.000000,4
bcwfc,Linear_16_10,HE,13,0.244366,0.666010,0.019187,4
bcwfc,Linear_16_10,Plain,-,0.000002,0.000017,0.000001,4
mnistfc,Linear_784_128,HE,13,5.630585,38.977631,0.288311,4
mnistfc,Linear_784_128,Plain,-,0.000199,0.000294,0.000123,4
mnistfc,Activation_ReLU3,HE,13,0.012308,0.012459,0.000000,4
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000012,0.000000,4
mnistfc,Linear_128_32,HE,13,1.089885,5.048357,0.075918,4
mnistfc,Linear_128_32,Plain,-,0.000013,0.000015,0.000006,4
mnistfc,Activation_ReLU3,HE,13,0.012115,0.012596,0.000000,4
mnistfc,Activation_ReLU3,Plain,-,0.000001,0.000000,0.000000,4
mnistfc,Linear_32_10,HE,13,0.285577,1.139020,0.025635,4
mnistfc,Linear_32_10,Plain,-,0.000007,0.000018,0.000008,4
mnistfc,Linear_784_128,HE,13,6.839658,37.414068,0.292161,4
mnistfc,Linear_784_128,Plain,-,0.000177,0.000261,0.000123,4
mnistfc,Activation_ReLU3,HE,13,0.013009,0.012724,0.000000,4
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,4
mnistfc,Linear_128_32,HE,13,1.329375,5.038772,0.061382,4
mnistfc,Linear_128_32,Plain,-,0.000008,0.000019,0.000008,4
mnistfc,Activation_ReLU3,HE,13,0.011657,0.014249,0.000000,4
mnistfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,4
mnistfc,Linear_32_10,HE,13,0.449938,1.149973,0.019455,4
mnistfc,Linear_32_10,Plain,-,0.000004,0.000018,0.000001,4
lenet,Conv2D_1_6_5_5,HE,13,0.000005,0.000002,0.000387,4
lenet,Conv2D_1_6_5_5,Plain,-,0.000166,0.000507,0.000001,4
lenet,Activation_ReLU3,HE,13,0.012585,0.013659,0.000002,4
lenet,Activation_ReLU3,Plain,-,0.000013,0.000018,0.000000,4
lenet,Conv2D_6_16_5_5,HE,13,0.000000,0.000004,0.000434,4
lenet,Conv2D_6_16_5_5,Plain,-,0.001549,0.005453,0.000004,4
lenet,Activation_ReLU3,HE,13,0.012478,0.012837,0.000000,4
lenet,Activation_ReLU3,Plain,-,0.000029,0.000026,0.000000,4
lenet,Linear_256_120,HE,13,4.690099,15.496067,0.266048,4
lenet,Linear_256_120,Plain,-,0.000082,0.000129,0.000043,4
lenet,Activation_ReLU3,HE,13,0.011985,0.013017,0.000001,4
lenet,Activation_ReLU3,Plain,-,0.000002,0.000015,0.000000,4
lenet,Linear_120_84,HE,13,2.895831,8.623410,0.200514,4
lenet,Linear_120_84,Plain,-,0.000025,0.000036,0.000015,4
lenet,Activation_ReLU3,HE,13,0.011759,0.014363,0.000001,4
lenet,Activation_ReLU3,Plain,-,0.000001,0.000008,0.000000,4
lenet,Linear_84_10,HE,13,0.347499,2.399123,0.018998,4
lenet,Linear_84_10,Plain,-,0.000005,0.000029,0.000001,4
