model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,17.208885,114.781578,1.395845,40
mnistfc,Linear_784_128,Plain,-,0.000418,0.001301,0.001060,40
mnistfc,Activation_ReLU3,HE,13,0.070288,0.038420,0.038028,40
mnistfc,Activation_ReLU3,Plain,-,0.000010,0.000004,0.000001,40
mnistfc,Linear_128_32,HE,13,3.592945,22.559575,0.344381,40
mnistfc,Linear_128_32,Plain,-,0.000026,0.000056,0.000045,40
mnistfc,Activation_ReLU3,HE,13,0.025734,0.021215,0.038049,40
mnistfc,Activation_ReLU3,Plain,-,0.000003,0.000002,0.000000,40
mnistfc,Linear_32_10,HE,13,0.904070,5.887166,0.107079,40
mnistfc,Linear_32_10,Plain,-,0.000008,0.000014,0.000002,40
lenet,Conv2D_1_6_5_5,HE,13,0.134308,0.090934,0.087699,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000872,0.002038,0.000014,40
lenet,Activation_ReLU3,HE,13,0.038063,0.033650,0.036991,40
lenet,Activation_ReLU3,Plain,-,0.000040,0.000031,0.000001,40
lenet,Conv2D_6_16_5_5,HE,13,0.000002,0.000002,0.000090,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004661,0.012839,0.000018,40
lenet,Activation_ReLU3,HE,13,0.022130,0.018910,0.019269,40
lenet,Activation_ReLU3,Plain,-,0.000045,0.000035,0.000000,40
lenet,Linear_256_120,HE,13,13.058000,50.974387,1.482252,40
lenet,Linear_256_120,Plain,-,0.000045,0.000072,0.000002,40
lenet,Activation_ReLU3,HE,13,0.036806,0.019858,0.021165,40
lenet,Activation_ReLU3,Plain,-,0.000005,0.000002,0.000001,40
lenet,Linear_120_84,HE,13,8.610129,30.952565,1.085087,40
lenet,Linear_120_84,Plain,-,0.000051,0.000099,0.000106,40
lenet,Activation_ReLU3,HE,13,0.038185,0.021840,0.022764,40
lenet,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,40
lenet,Linear_84_10,HE,13,1.025520,7.889888,0.057772,40
lenet,Linear_84_10,Plain,-,0.000007,0.000015,0.000006,40
bcwfc,Linear_64_32,HE,13,2.906550,12.026056,0.337313,40
bcwfc,Linear_64_32,Plain,-,0.000009,0.000017,0.000001,40
bcwfc,Activation_ReLU3,HE,13,0.034423,0.028184,0.017705,40
bcwfc,Activation_ReLU3,Plain,-,0.000004,0.000002,0.000000,40
bcwfc,Linear_32_16,HE,13,1.288083,6.412786,0.167800,40
bcwfc,Linear_32_16,Plain,-,0.000007,0.000017,0.000003,40
bcwfc,Activation_ReLU3,HE,13,0.038087,0.017824,0.027742,40
bcwfc,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,40
bcwfc,Linear_16_10,HE,13,1.020779,3.498002,0.058246,40
bcwfc,Linear_16_10,Plain,-,0.000005,0.000006,0.000001,40
audio1d,Conv2D_12_16_1_3,HE,13,0.000002,0.000002,0.000106,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000047,40
audio1d,Activation_ReLU3,HE,13,0.036416,0.032828,0.030840,40
audio1d,Activation_ReLU3,Plain,-,0.000017,0.000012,0.000001,40
audio1d,MaxPool1D_2,Plain,-,0.000032,0.000004,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,13,0.000002,0.000002,0.000117,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000003,0.000002,0.000014,40
audio1d,Activation_ReLU3,HE,13,0.033215,0.031099,0.028889,40
audio1d,Activation_ReLU3,Plain,-,0.000022,0.000013,0.000001,40
audio1d,MaxPool1D_2,Plain,-,0.000078,0.000009,0.000005,40
audio1d,Flatten,HE,13,0.007112,0.004648,0.004737,40
audio1d,Flatten,Plain,-,0.000006,0.000003,0.000001,40
audio1d,Linear_2000_5,HE,13,0.623684,106.229748,0.027288,40
audio1d,Linear_2000_5,Plain,-,0.000008,0.000050,0.000001,40
audio1d,Activation_ReLU3,HE,13,0.022563,0.017115,0.017146,40
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000002,0.000000,40
