model,cut_layer,accuracy,final_noise_stddev
MNIST_FCNN,0,97.25,N/A
MNIST_FCNN,1,97.03,N/A
MNIST_FCNN,2,97.19,N/A
MNIST_FCNN,3,96.84,N/A
MNIST_FCNN,4,96.63,N/A
MNIST_FCNN,5,97.09,N/A
MNIST_FCNN,6,97.16,N/A
BCWFS_FCNN,0,94.73684210526316,N/A
BCWFS_FCNN,1,89.47368421052632,N/A
BCWFS_FCNN,2,93.85964912280701,N/A
BCWFS_FCNN,3,90.35087719298245,N/A
BCWFS_FCNN,4,90.35087719298245,N/A
BCWFS_FCNN,5,91.2280701754386,N/A
PTB_XL_CNN,0,62.82940360610264,N/A
PTB_XL_CNN,1,63.06056403143782,N/A
PTB_XL_CNN,2,62.7831715210356,N/A
PTB_XL_CNN,3,62.690707350901526,N/A
PTB_XL_CNN,4,63.52288488210818,N/A
PTB_XL_CNN,5,64.95607951918632,N/A
PTB_XL_CNN,6,62.2746185852982,N/A
PTB_XL_CNN,7,62.13592233009709,N/A
PTB_XL_CNN,8,63.985205732778546,N/A
PTB_XL_CNN,9,63.10679611650485,N/A
LeNet,0,98.95,N/A
LeNet,1,99.17,N/A
LeNet,2,98.76,N/A
LeNet,3,98.98,N/A
LeNet,4,98.89,N/A
LeNet,5,98.65,N/A
LeNet,6,98.97,N/A
LeNet,7,99.03,N/A
LeNet,8,98.8,N/A
LeNet,9,99.04,N/A
LeNet,10,99.15,N/A
LeNet,11,99.09,N/A
LeNet,12,99.05,N/A
ResNet_Block_Analysis,N/A,N/A,1.4142135765152306
