model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.225396,2.447196,0.007729,2
lenet,Conv2D_1_6_5_5,Plain,-,0.000452,0.001202,0.000002,2
lenet,Activation_ReLU3,HE,13,0.039661,0.039606,0.000007,2
lenet,Activation_ReLU3,Plain,-,0.000047,0.000030,0.000001,2
lenet,Conv2D_6_16_5_5,HE,13,4.021181,14.267885,0.006180,2
lenet,Conv2D_6_16_5_5,Plain,-,0.004763,0.013206,0.000007,2
lenet,Activation_ReLU3,HE,13,0.038821,0.040136,0.000001,2
lenet,Activation_ReLU3,Plain,-,0.000082,0.000079,0.000000,2
lenet,Linear_256_120,HE,13,15.111908,51.230048,0.783012,2
lenet,Linear_256_120,Plain,-,0.000068,0.000239,0.000202,2
lenet,Activation_ReLU3,HE,13,0.067671,0.047780,0.000001,2
lenet,Activation_ReLU3,Plain,-,0.000002,0.000003,0.000000,2
lenet,Linear_120_84,HE,13,9.460656,30.172078,0.555112,2
lenet,Linear_120_84,Plain,-,0.000037,0.000091,0.000071,2
lenet,Activation_ReLU3,HE,13,0.039163,0.040117,0.000001,2
lenet,Activation_ReLU3,Plain,-,0.000002,0.000009,0.000000,2
lenet,Linear_84_10,HE,13,1.148207,8.187927,0.060126,2
lenet,Linear_84_10,Plain,-,0.000008,0.000021,0.000002,2
lenet,Conv2D_1_6_5_5,HE,13,2.261171,2.556872,0.006096,2
lenet,Conv2D_1_6_5_5,Plain,-,0.000451,0.001220,0.000001,2
lenet,Activation_ReLU3,HE,13,0.039498,0.040509,0.000005,2
lenet,Activation_ReLU3,Plain,-,0.000038,0.000036,0.000000,2
lenet,Conv2D_6_16_5_5,HE,13,4.169206,25.191276,0.008699,2
lenet,Conv2D_6_16_5_5,Plain,-,0.004926,0.016849,0.000007,2
lenet,Activation_ReLU3,HE,13,0.040959,0.041190,0.000001,2
lenet,Activation_ReLU3,Plain,-,0.000089,0.000081,0.000000,2
lenet,Linear_256_120,HE,13,33.814938,72.532805,0.734897,2
lenet,Linear_256_120,Plain,-,0.000065,0.000236,0.000210,2
lenet,Activation_ReLU3,HE,13,0.063356,0.040538,0.000001,2
lenet,Activation_ReLU3,Plain,-,0.000004,0.000003,0.000000,2
lenet,Linear_120_84,HE,13,9.111108,25.318982,0.527867,2
lenet,Linear_120_84,Plain,-,0.000025,0.000087,0.000072,2
lenet,Activation_ReLU3,HE,13,0.040810,0.040547,0.000005,2
lenet,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,2
lenet,Linear_84_10,HE,13,2.329803,17.594391,0.060206,2
lenet,Linear_84_10,Plain,-,0.000008,0.000011,0.000003,2
audio1d,Conv2D_12_16_1_3,HE,13,0.950222,3.398978,0.005797,2
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000011,2
audio1d,Activation_ReLU3,HE,13,0.038579,0.039629,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000085,0.000123,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000049,0.000015,0.000001,2
audio1d,Conv2D_16_8_1_3,HE,13,1.027691,4.472301,0.006109,2
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000002,0.000003,2
audio1d,Activation_ReLU3,HE,13,0.038953,0.040210,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000160,0.000166,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000063,0.000033,0.000000,2
audio1d,Flatten,HE,13,0.000014,0.000001,0.000000,2
audio1d,Flatten,Plain,-,0.000076,0.000066,0.000000,2
audio1d,Linear_2000_5,HE,13,0.722653,129.990684,0.032576,2
audio1d,Linear_2000_5,Plain,-,0.000037,0.000091,0.000071,2
audio1d,Activation_ReLU3,HE,13,0.040064,0.040231,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000004,0.000000,2
audio1d,Conv2D_12_16_1_3,HE,13,0.883837,3.230852,0.005408,2
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000013,2
audio1d,Activation_ReLU3,HE,13,0.036779,0.039533,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000120,0.000122,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000031,0.000009,0.000001,2
audio1d,Conv2D_16_8_1_3,HE,13,1.023946,4.464421,0.005883,2
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000006,2
audio1d,Activation_ReLU3,HE,13,0.039034,0.039704,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000162,0.000161,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000062,0.000034,0.000000,2
audio1d,Flatten,HE,13,0.000001,0.000000,0.000000,2
audio1d,Flatten,Plain,-,0.000075,0.000071,0.000000,2
audio1d,Linear_2000_5,HE,13,0.720854,117.532491,0.032399,2
audio1d,Linear_2000_5,Plain,-,0.000063,0.000059,0.000021,2
audio1d,Activation_ReLU3,HE,13,0.039653,0.040821,0.000001,2
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,2
bcwfc,Linear_64_32,HE,13,2.877856,8.572463,0.182621,2
bcwfc,Linear_64_32,Plain,-,0.000008,0.000015,0.000005,2
bcwfc,Activation_ReLU3,HE,13,0.036355,0.037619,0.000001,2
bcwfc,Activation_ReLU3,Plain,-,0.000007,0.000001,0.000000,2
bcwfc,Linear_32_16,HE,13,1.300116,3.884112,0.095419,2
bcwfc,Linear_32_16,Plain,-,0.000003,0.000009,0.000002,2
bcwfc,Activation_ReLU3,HE,13,0.040221,0.040071,0.000001,2
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,2
bcwfc,Linear_16_10,HE,13,0.771038,2.136081,0.059939,2
bcwfc,Linear_16_10,Plain,-,0.000003,0.000007,0.000001,2
bcwfc,Linear_64_32,HE,13,3.147192,18.729828,27.882552,2
bcwfc,Linear_64_32,Plain,-,0.000023,0.000020,0.000005,2
bcwfc,Activation_ReLU3,HE,13,0.044156,0.037741,0.000001,2
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,2
bcwfc,Linear_32_16,HE,13,1.309586,3.741319,0.091748,2
bcwfc,Linear_32_16,Plain,-,0.000004,0.000007,0.000002,2
bcwfc,Activation_ReLU3,HE,13,0.036463,0.037816,0.000001,2
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,2
bcwfc,Linear_16_10,HE,13,0.737488,1.989022,0.057657,2
bcwfc,Linear_16_10,Plain,-,0.000003,0.000009,0.000001,2
mnistfc,Linear_784_128,HE,13,15.989223,103.328938,0.768767,2
mnistfc,Linear_784_128,Plain,-,0.000203,0.000523,0.000672,2
mnistfc,Activation_ReLU3,HE,13,0.036553,0.037804,0.000001,2
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000009,0.000000,2
mnistfc,Linear_128_32,HE,13,3.247675,14.600781,0.192719,2
mnistfc,Linear_128_32,Plain,-,0.000015,0.000039,0.000009,2
mnistfc,Activation_ReLU3,HE,13,0.039080,0.040088,0.000001,2
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000001,2
mnistfc,Linear_32_10,HE,13,0.855517,3.281832,0.059800,2
mnistfc,Linear_32_10,Plain,-,0.000004,0.000008,0.000001,2
mnistfc,Linear_784_128,HE,13,17.552926,102.174413,0.735872,2
mnistfc,Linear_784_128,Plain,-,0.000335,0.000543,0.000776,2
mnistfc,Activation_ReLU3,HE,13,0.040623,0.037557,0.000001,2
mnistfc,Activation_ReLU3,Plain,-,0.000004,0.000001,0.000001,2
mnistfc,Linear_128_32,HE,13,3.267130,13.912245,0.178689,2
mnistfc,Linear_128_32,Plain,-,0.000013,0.000025,0.000009,2
mnistfc,Activation_ReLU3,HE,13,0.035827,0.037153,0.000001,2
mnistfc,Activation_ReLU3,Plain,-,0.000005,0.000001,0.000000,2
mnistfc,Linear_32_10,HE,13,0.808640,3.077099,0.058321,2
mnistfc,Linear_32_10,Plain,-,0.000004,0.000010,0.000001,2
