model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,14,5.468914,6.033635,0.017898,1
lenet,Conv2D_1_6_5_5,Plain,-,0.000910,0.001843,0.000004,1
lenet,Activation_ReLU3,HE,14,0.120773,0.118255,0.000018,1
lenet,Activation_ReLU3,Plain,-,0.000052,0.000045,0.000001,1
lenet,Conv2D_6_16_5_5,HE,14,9.897562,34.939360,0.019871,1
lenet,Conv2D_6_16_5_5,Plain,-,0.006582,0.019024,0.000017,1
lenet,Activation_ReLU3,HE,14,0.108788,0.108241,0.000006,1
lenet,Activation_ReLU3,Plain,-,0.000094,0.000084,0.000000,1
lenet,Linear_256_120,HE,14,34.625041,116.777877,1.833932,1
lenet,Linear_256_120,Plain,-,0.000171,0.000334,0.000068,1
lenet,Activation_ReLU3,HE,14,0.093553,0.098037,0.000002,1
lenet,Activation_ReLU3,Plain,-,0.000020,0.000002,0.000000,1
lenet,Linear_120_84,HE,14,20.776725,64.876501,1.186812,1
lenet,Linear_120_84,Plain,-,0.000079,0.000141,0.000042,1
lenet,Activation_ReLU3,HE,14,0.113965,0.105260,0.000006,1
lenet,Activation_ReLU3,Plain,-,0.000002,0.000034,0.000000,1
lenet,Linear_84_10,HE,14,2.467878,19.522847,0.176918,1
lenet,Linear_84_10,Plain,-,0.000010,0.000014,0.000003,1
lenet,Conv2D_1_6_5_5,HE,14,5.137181,6.517437,0.013636,1
lenet,Conv2D_1_6_5_5,Plain,-,0.000483,0.001225,0.000002,1
lenet,Activation_ReLU3,HE,14,0.088667,0.124789,0.000007,1
lenet,Activation_ReLU3,Plain,-,0.000043,0.000041,0.000000,1
lenet,Conv2D_6_16_5_5,HE,14,9.689023,36.878915,0.015808,1
lenet,Conv2D_6_16_5_5,Plain,-,0.006512,0.016232,0.000008,1
lenet,Activation_ReLU3,HE,14,0.108757,0.107152,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000088,0.000073,0.000000,1
lenet,Linear_256_120,HE,14,36.021633,115.318968,1.875284,1
lenet,Linear_256_120,Plain,-,0.000084,0.000241,0.000197,1
lenet,Activation_ReLU3,HE,14,0.097292,0.097659,0.000008,1
lenet,Activation_ReLU3,Plain,-,0.000011,0.000004,0.000000,1
lenet,Linear_120_84,HE,14,20.544204,57.095931,1.212700,1
lenet,Linear_120_84,Plain,-,0.000054,0.000093,0.000021,1
lenet,Activation_ReLU3,HE,14,0.109822,0.102796,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000016,0.000002,0.000000,1
lenet,Linear_84_10,HE,14,2.690857,16.926354,0.143630,1
lenet,Linear_84_10,Plain,-,0.000008,0.000023,0.000002,1
audio1d,Conv2D_12_16_1_3,HE,14,1.958351,8.369000,0.015562,1
audio1d,Conv2D_12_16_1_3,Plain,-,0.000006,0.000004,0.000009,1
audio1d,Activation_ReLU3,HE,14,0.090860,0.093425,0.000001,1
audio1d,Activation_ReLU3,Plain,-,0.000124,0.000137,0.000000,1
audio1d,MaxPool1D_2,Plain,-,0.000048,0.000026,0.000001,1
