model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
resnet,Conv2D_3_64_7_7,HE,14,8.661323,61.538774,0.014102,40
resnet,Conv2D_3_64_7_7,Plain,-,2.098743,5.222075,0.000032,40
resnet,Activation_ReLU3,HE,14,0.073431,0.075424,0.000002,40
resnet,Activation_ReLU3,Plain,-,0.029165,0.028795,0.000004,40
resnet,Conv2D_64_64_3_3,HE,14,72.840189,482.491413,0.021556,40
resnet,Conv2D_64_64_3_3,Plain,-,9.067010,23.103372,0.000079,40
resnet,Activation_ReLU3,HE,14,0.068491,0.070250,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.034477,0.033017,0.000001,40
resnet,Conv2D_64_64_3_3,HE,14,71.077220,484.229433,0.020506,40
resnet,Conv2D_64_64_3_3,Plain,-,8.932362,23.532605,0.000095,40
resnet,Activation_ReLU3,HE,14,0.078012,0.075637,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.028629,0.027469,0.000001,40
resnet,Conv2D_3_64_7_7,HE,14,8.263667,61.442125,0.013579,40
resnet,Conv2D_3_64_7_7,Plain,-,1.994267,5.346900,0.000023,40
resnet,Activation_ReLU3,HE,14,0.068184,0.071196,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014946,0.014100,0.000001,40
resnet,Conv2D_64_64_3_3,HE,14,72.458425,482.979032,0.021619,40
resnet,Conv2D_64_64_3_3,Plain,-,8.849033,23.162087,0.000163,40
resnet,Activation_ReLU3,HE,14,0.075131,0.075303,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014375,0.013533,0.000001,40
resnet,Conv2D_64_64_3_3,HE,14,73.452024,484.374636,0.020477,40
resnet,Conv2D_64_64_3_3,Plain,-,8.794428,22.886365,0.000115,40
resnet,Activation_ReLU3,HE,14,0.069113,0.071007,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014006,0.013330,0.000001,40
