model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,24.300724,5.017278,4.743497,2
mnistfc,Linear_784_128,Plain,-,0.000389,0.001202,0.000957,2
mnistfc,Activation_ReLU3,HE,13,0.505497,0.473516,0.462443,2
mnistfc,Activation_ReLU3,Plain,-,0.000008,0.000005,0.000001,2
mnistfc,Linear_128_32,HE,13,5.784746,1.679327,1.855617,2
mnistfc,Linear_128_32,Plain,-,0.000024,0.000057,0.000046,2
mnistfc,Activation_ReLU3,HE,13,0.525428,0.456147,0.451887,2
mnistfc,Activation_ReLU3,Plain,-,0.000006,0.000002,0.000000,2
mnistfc,Linear_32_10,HE,13,2.181448,1.241224,1.237247,2
mnistfc,Linear_32_10,Plain,-,0.000010,0.000008,0.000002,2
lenet,Conv2D_1_6_5_5,HE,13,2.348899,1.159464,1.125458,2
lenet,Conv2D_1_6_5_5,Plain,-,0.000878,0.002041,0.000003,2
lenet,Activation_ReLU3,HE,13,0.513210,0.472993,0.521199,2
lenet,Activation_ReLU3,Plain,-,0.000065,0.000038,0.000000,2
lenet,Conv2D_6_16_5_5,HE,13,2.400798,10.266006,0.003744,2
lenet,Conv2D_6_16_5_5,Plain,-,0.009455,0.024192,0.000032,2
lenet,Activation_ReLU3,HE,13,0.541856,0.450032,0.470985,2
lenet,Activation_ReLU3,Plain,-,0.000138,0.000115,0.000000,2
lenet,Linear_256_120,HE,13,19.923190,4.224335,4.246824,2
lenet,Linear_256_120,Plain,-,0.000085,0.000179,0.000002,2
lenet,Activation_ReLU3,HE,13,0.520487,0.424102,0.472014,2
lenet,Activation_ReLU3,Plain,-,0.000006,0.000007,0.000000,2
lenet,Linear_120_84,HE,13,13.663022,3.240021,3.539587,2
lenet,Linear_120_84,Plain,-,0.000050,0.000093,0.000040,2
lenet,Activation_ReLU3,HE,13,0.565589,0.477568,0.472007,2
lenet,Activation_ReLU3,Plain,-,0.000010,0.000005,0.000000,2
lenet,Linear_84_10,HE,13,2.336208,1.164730,1.295377,2
lenet,Linear_84_10,Plain,-,0.000021,0.000019,0.000014,2
bcwfc,Linear_64_32,HE,13,5.179661,1.861156,1.719574,2
bcwfc,Linear_64_32,Plain,-,0.000019,0.000016,0.000001,2
bcwfc,Activation_ReLU3,HE,13,0.437556,0.417381,0.424751,2
bcwfc,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,2
bcwfc,Linear_32_16,HE,13,2.942699,1.355618,1.314749,2
bcwfc,Linear_32_16,Plain,-,0.000007,0.000009,0.000003,2
bcwfc,Activation_ReLU3,HE,13,0.466260,0.434742,0.484995,2
bcwfc,Activation_ReLU3,Plain,-,0.000004,0.000003,0.000000,2
bcwfc,Linear_16_10,HE,13,1.926853,1.056185,1.100500,2
bcwfc,Linear_16_10,Plain,-,0.000005,0.000007,0.000001,2
audio1d,Conv2D_12_16_1_3,HE,13,0.514852,2.335631,0.003278,2
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000003,0.000015,2
audio1d,Activation_ReLU3,HE,13,0.448017,0.405706,0.438560,2
audio1d,Activation_ReLU3,Plain,-,0.000011,0.000010,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000012,0.000010,0.000001,2
audio1d,Conv2D_16_8_1_3,HE,13,0.334654,1.518160,0.002131,2
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000002,0.000008,2
audio1d,Activation_ReLU3,HE,13,0.443726,0.420951,0.399502,2
audio1d,Activation_ReLU3,Plain,-,0.000012,0.000006,0.000000,2
audio1d,MaxPool1D_2,Plain,-,0.000015,0.000001,0.000000,2
audio1d,Flatten,HE,13,0.104717,0.096295,0.107191,2
audio1d,Flatten,Plain,-,0.000007,0.000004,0.000001,2
audio1d,Linear_2000_5,HE,13,2.603638,1.791047,1.629623,2
audio1d,Linear_2000_5,Plain,-,0.000012,0.000064,0.000002,2
audio1d,Activation_ReLU3,HE,13,0.392732,0.366388,0.323132,2
audio1d,Activation_ReLU3,Plain,-,0.000003,0.000002,0.000000,2
