model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,14.101336,88.837720,0.665034,40
mnistfc,Linear_784_128,Plain,-,0.000174,0.000462,0.000173,40
mnistfc,Activation_ReLU3,HE,13,0.031728,0.033300,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000003,0.000004,0.000000,40
mnistfc,Activation_ReLU3,HE,13,0.032077,0.033467,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000004,0.000004,0.000000,40
bcwfc,Activation_ReLU3,HE,13,0.032676,0.034438,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000003,0.000005,0.000000,40
bcwfc,Linear_32_16,HE,13,1.150773,3.343040,0.087130,40
bcwfc,Linear_32_16,Plain,-,0.000002,0.000002,0.000000,40
bcwfc,Activation_ReLU3,HE,13,0.032419,0.034022,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000003,0.000004,0.000000,40
bcwfc,Linear_16_10,HE,13,0.644446,1.783908,0.052818,40
bcwfc,Linear_16_10,Plain,-,0.000002,0.000002,0.000000,40
bcwfc,Linear_16_10,HE,13,0.645568,1.770233,0.052119,4
bcwfc,Linear_16_10,Plain,-,0.000002,0.000002,0.000000,4
audio1d,Activation_ReLU3,HE,13,0.032419,0.034069,0.000001,4
audio1d,Activation_ReLU3,Plain,-,0.000003,0.000005,0.000000,4
audio1d,Activation_ReLU3,HE,13,0.033224,0.bcwfc,Activation_ReLU3,HE,13,0.033126,0.034919,0.000000,40
bcwfc,Activation_ReLU3,Plain,-,0.000004,0.000004,0.000000,40
bcwfc,Linear_32_16,HE,13,1.180711,3.409018,0.089213,40
bcwfc,Linear_32_16,Plain,-,0.000002,0.000002,0.000000,40
bcwfc,Activation_ReLU3,HE,13,0.032854,0.034721,0.000000,40
bcwfc,Activation_ReLU3,Plain,-,0.000004,0.000004,0.000000,40
bcwfc,Linear_16_10,HE,13,0.660415,1.817555,0.052415,40
bcwfc,Linear_16_10,Plain,-,0.000003,0.000003,0.000001,40
bcwfc,Linear_16_10,HE,13,0.656627,1.808170,0.054079,4
bcwfc,Linear_16_10,Plain,-,0.000002,0.000001,0.000000,4
