model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,16.081780000000002,2.42994,2.3188333333333335,6
mnistfc,Linear_784_128,Plain,-,0.004260000000000001,0.008706666666666668,0.011286666666666667,6
mnistfc,Activation_ReLU3,HE,13,0.24936,0.22491333333333335,0.22583333333333336,6
mnistfc,Activation_ReLU3,Plain,-,4e-05,3.3333333333333335e-05,0.0,6
mnistfc,Linear_128_32,HE,13,2.7063466666666667,0.8544400000000001,0.8875933333333335,6
mnistfc,Linear_128_32,Plain,-,0.00014666666666666666,0.00030000000000000003,0.00044000000000000007,6
mnistfc,Activation_ReLU3,HE,13,0.24936,0.22491333333333335,0.22583333333333336,6
mnistfc,Activation_ReLU3,Plain,-,4e-05,3.3333333333333335e-05,0.0,6
mnistfc,Linear_32_10,HE,13,1.0859066666666668,0.5219866666666667,0.5499200000000001,6
mnistfc,Linear_32_10,Plain,-,4e-05,4e-05,1.3333333333333333e-05,6
lenet,Conv2D_1_6_5_5,HE,13,0.403811,0.245943,0.234905,6
lenet,Conv2D_1_6_5_5,Plain,-,0.000813,0.001975,0.000003,6
lenet,Activation_ReLU3,HE,13,0.25255333333333335,0.20740666666666668,0.20716,6
lenet,Activation_ReLU3,Plain,-,4e-05,2e-05,0.0,6
lenet,Conv2D_6_16_5_5,HE,13,0.000002,0.000002,0.000098,6
lenet,Conv2D_6_16_5_5,Plain,-,0.005319,0.014774,0.000027,6
lenet,Activation_ReLU3,HE,13,0.25255333333333335,0.20740666666666668,0.20716,6
lenet,Activation_ReLU3,Plain,-,4e-05,2e-05,0.0,6
lenet,Linear_256_120,HE,13,9.809113333333334,2.0857200000000002,1.9217666666666666,6
lenet,Linear_256_120,Plain,-,0.00020666666666666668,0.0004,6.666666666666667e-06,6
lenet,Activation_ReLU3,HE,13,0.25255333333333335,0.20740666666666668,0.20716,6
lenet,Activation_ReLU3,Plain,-,4e-05,2e-05,0.0,6
lenet,Linear_120_84,HE,13,6.059566666666667,1.4365066666666668,1.5051133333333333,6
lenet,Linear_120_84,Plain,-,0.0003133333333333333,0.0006466666666666667,0.0009533333333333334,6
lenet,Activation_ReLU3,HE,13,0.25255333333333335,0.20740666666666668,0.20716,6
lenet,Activation_ReLU3,Plain,-,4e-05,2e-05,0.0,6
lenet,Linear_84_10,HE,13,1.1846466666666666,0.5693866666666667,0.5972133333333334,6
lenet,Linear_84_10,Plain,-,4.6666666666666665e-05,5.333333333333333e-05,2e-05,6
bcwfc,Linear_64_32,HE,13,2.4699733333333334,0.4772666666666667,0.5108400000000001,6
bcwfc,Linear_64_32,Plain,-,8e-05,7.333333333333333e-05,6.666666666666667e-06,6
bcwfc,Activation_ReLU3,HE,13,0.13137333333333334,0.11064,0.11384000000000001,6
bcwfc,Activation_ReLU3,Plain,-,2e-05,1.3333333333333333e-05,0.0,6
bcwfc,Linear_32_16,HE,13,0.8091133333333334,0.35084,0.3461533333333333,6
bcwfc,Linear_32_16,Plain,-,3.3333333333333335e-05,4.6666666666666665e-05,1.3333333333333333e-05,6
bcwfc,Activation_ReLU3,HE,13,0.13137333333333334,0.11064,0.11384000000000001,6
bcwfc,Activation_ReLU3,Plain,-,2e-05,1.3333333333333333e-05,0.0,6
bcwfc,Linear_16_10,HE,13,0.56476,0.32674000000000003,0.29786666666666667,6
bcwfc,Linear_16_10,Plain,-,2.6666666666666667e-05,2.6666666666666667e-05,6.666666666666667e-06,6
audio1d,Conv2D_12_16_1_3,HE,13,0.000003,0.000002,0.000119,6
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000023,6
audio1d,Activation_ReLU3,HE,13,0.12536000000000003,0.12760666666666667,0.11508,6
audio1d,Activation_ReLU3,Plain,-,1.3333333333333333e-05,1.3333333333333333e-05,0.0,6
audio1d,MaxPool1D_2,Plain,-,0.000009,0.000009,0.000001,6
audio1d,Conv2D_16_8_1_3,HE,13,0.000001,0.000001,0.000083,6
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000013,6
audio1d,Activation_ReLU3,HE,13,0.12536000000000003,0.12760666666666667,0.11508,6
audio1d,Activation_ReLU3,Plain,-,1.3333333333333333e-05,1.3333333333333333e-05,0.0,6
audio1d,MaxPool1D_2,Plain,-,0.000012,0.000001,0.000001,6
audio1d,Flatten,HE,13,0.017827,0.024429,0.022427,6
audio1d,Flatten,Plain,-,0.000029,0.000004,0.000001,6
audio1d,Linear_2000_5,HE,13,0.8400666666666667,0.6128533333333334,0.53994,6
audio1d,Linear_2000_5,Plain,-,4e-05,0.00016,6.666666666666667e-06,6
audio1d,Activation_ReLU3,HE,13,0.12536000000000003,0.12760666666666667,0.11508,6
audio1d,Activation_ReLU3,Plain,-,1.3333333333333333e-05,1.3333333333333333e-05,0.0,6
