model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
audio1d,,6,0,9.683333333333335e-05,0.00023
audio1d,,6,1,9.483333333333334e-05,0.00020500000000000002
audio1d,,6,2,8.15e-05,0.0001916666666666667
audio1d,,6,3,7.1e-05,0.0001856666666666667
audio1d,,6,4,6.9e-05,0.0001716666666666667
audio1d,,6,5,4e-05,0.0001666666666666667
audio1d,,6,6,0.0,0.0
audio1d,,24,0,3.5333333333333336e-05,0.0001445
audio1d,,24,1,3.3333333333333335e-05,7.15e-05
audio1d,,24,2,2.9999999999999997e-05,6.816666666666668e-05
audio1d,,24,3,1.9e-05,6.266666666666667e-05
audio1d,,24,4,1.7e-05,4.666666666666667e-05
audio1d,,24,5,1e-05,4.166666666666667e-05
audio1d,,24,6,0.0,0.0
audio1d,,30,0,4.516666666666667e-05,8.1e-05
audio1d,,30,1,4.316666666666666e-05,7e-05
audio1d,,30,2,4.0499999999999995e-05,6.733333333333333e-05
audio1d,,30,3,3.1e-05,6.433333333333333e-05
audio1d,,30,4,2.9e-05,3.8333333333333334e-05
audio1d,,30,5,8e-06,3.3333333333333335e-05
audio1d,,30,6,0.0,0.0
audio1d,13,6,0,0.0,0.0
audio1d,13,6,1,3.815451243321712,21.542386594516124
audio1d,13,6,2,0.30893111111111116,1.2664666666666666
audio1d,13,6,3,0.42750444444444446,1.9359466666666667
audio1d,13,6,4,0.45525777777777776,1.9951266666666667
audio1d,13,6,5,26.52420335112102,64.45958043266278
audio1d,13,24,0,0.0,0.0
audio1d,13,24,1,0.953862810830428,5.385596648629031
audio1d,13,24,2,0.07723277777777779,0.31661666666666666
audio1d,13,24,3,0.10687611111111112,0.4839866666666667
audio1d,13,24,4,0.11381444444444444,0.4987816666666667
audio1d,13,24,5,6.631050837780255,16.114895108165694
audio1d,13,30,0,0.0,0.0
audio1d,13,30,1,0.7630902486643423,4.308477318903224
audio1d,13,30,2,0.06178622222222222,0.25329333333333326
audio1d,13,30,3,0.08550088888888888,0.3871893333333333
audio1d,13,30,4,0.09105155555555555,0.39902533333333334
audio1d,13,30,5,5.304840670224204,12.891916086532552
audio1d,13,40,1,0.5293938600108876,2.989006139989112
audio1d,13,40,5,3.6802332149680415,8.94376678503196
bcwfc,,6,0,0.00016,0.0001866666666666667
bcwfc,,6,1,7.999999999999999e-05,0.00010666666666666667
bcwfc,,6,2,6e-05,9.333333333333333e-05
bcwfc,,6,3,2.6666666666666667e-05,3.3333333333333335e-05
bcwfc,,6,4,0.0,0.0
bcwfc,,24,0,4e-05,4.666666666666667e-05
