model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,13.835827,2.629287,2.820218,4
mnistfc,Linear_784_128,Plain,-,0.000410,0.001347,0.001000,4
mnistfc,Activation_ReLU3,HE,13,0.293134,0.268216,0.199602,4
mnistfc,Activation_ReLU3,Plain,-,0.000011,0.000008,0.000001,4
mnistfc,Linear_128_32,HE,13,3.340458,1.054016,1.052221,4
mnistfc,Linear_128_32,Plain,-,0.000025,0.000058,0.000049,4
mnistfc,Activation_ReLU3,HE,13,0.291655,0.298545,0.276216,4
mnistfc,Activation_ReLU3,Plain,-,0.000004,0.000002,0.000000,4
mnistfc,Linear_32_10,HE,13,1.307643,0.635209,0.597728,4
mnistfc,Linear_32_10,Plain,-,0.000011,0.000009,0.000003,4
lenet,Conv2D_1_6_5_5,HE,13,1.060655,0.527890,0.626205,4
lenet,Conv2D_1_6_5_5,Plain,-,0.000904,0.002115,0.000004,4
lenet,Activation_ReLU3,HE,13,0.254597,0.239347,0.252151,4
lenet,Activation_ReLU3,Plain,-,0.000036,0.000039,0.000000,4
lenet,Conv2D_6_16_5_5,HE,13,1.084090,4.673989,0.002083,4
lenet,Conv2D_6_16_5_5,Plain,-,0.009205,0.023899,0.000038,4
lenet,Activation_ReLU3,HE,13,0.271795,0.258788,0.255525,4
lenet,Activation_ReLU3,Plain,-,0.000057,0.000049,0.000000,4
lenet,Linear_256_120,HE,13,11.154526,2.471361,2.497799,4
lenet,Linear_256_120,Plain,-,0.000080,0.000176,0.000001,4
lenet,Activation_ReLU3,HE,13,0.292036,0.263523,0.253896,4
lenet,Activation_ReLU3,Plain,-,0.000005,0.000005,0.000000,4
lenet,Linear_120_84,HE,13,7.359687,1.588616,1.792807,4
lenet,Linear_120_84,Plain,-,0.000048,0.000134,0.000040,4
lenet,Activation_ReLU3,HE,13,0.244574,0.248441,0.248772,4
lenet,Activation_ReLU3,Plain,-,0.000014,0.000003,0.000000,4
lenet,Linear_84_10,HE,13,1.314044,0.623105,0.634443,4
lenet,Linear_84_10,Plain,-,0.000009,0.000019,0.000004,4
bcwfc,Linear_64_32,HE,13,2.841452,0.946426,0.973654,4
bcwfc,Linear_64_32,Plain,-,0.000017,0.000027,0.000001,4
bcwfc,Activation_ReLU3,HE,13,0.251428,0.256761,0.225600,4
bcwfc,Activation_ReLU3,Plain,-,0.000007,0.000003,0.000000,4
bcwfc,Linear_32_16,HE,13,1.505476,0.659569,0.731976,4
bcwfc,Linear_32_16,Plain,-,0.000006,0.000015,0.000003,4
bcwfc,Activation_ReLU3,HE,13,0.280530,0.235122,0.183164,4
bcwfc,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000000,4
bcwfc,Linear_16_10,HE,13,0.827870,0.462534,0.446824,4
bcwfc,Linear_16_10,Plain,-,0.000005,0.000008,0.000001,4
audio1d,Conv2D_12_16_1_3,HE,13,0.232484,1.063385,0.001824,4
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000021,4
audio1d,Activation_ReLU3,HE,13,0.186295,0.167703,0.172536,4
audio1d,Activation_ReLU3,Plain,-,0.000012,0.000010,0.000000,4
audio1d,MaxPool1D_2,Plain,-,0.000009,0.000006,0.000001,4
audio1d,Conv2D_16_8_1_3,HE,13,0.151114,0.691200,0.001185,4
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000006,0.000012,4
audio1d,Activation_ReLU3,HE,13,0.200984,0.167507,0.170360,4
audio1d,Activation_ReLU3,Plain,-,0.000008,0.000006,0.000000,4
audio1d,MaxPool1D_2,Plain,-,0.000010,0.000001,0.000001,4
audio1d,Flatten,HE,13,0.045623,0.041518,0.040426,4
audio1d,Flatten,Plain,-,0.000021,0.000003,0.000001,4
audio1d,Linear_2000_5,HE,13,1.159989,0.867817,0.778954,4
audio1d,Linear_2000_5,Plain,-,0.000007,0.000026,0.000001,4
audio1d,Activation_ReLU3,HE,13,0.185526,0.193652,0.170257,4
audio1d,Activation_ReLU3,Plain,-,0.000003,0.000002,0.000000,4
